Sample,Attempt 2,Lat.,Long.,Formation Name Attempt 2,Guess from Scott Hughes,Orientation,SiO2,TiO2,Al2O3,FeO*,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr,Sc,Ba,Rb,Sr,Zr,La,Ce,Th
WA-096,2,45.161508,-117.450477,GR,None,?,52.55255533,2.063351548,13.74907749,11.9,0.196325581,4.473593429,12.84915254,2.989032258,1.484132055,0.36,54.9,35.1,520,11.4,387,194,19.4,45.1,3.23
WA-097,3,45.161531,-117.450478,Imnaha,None,,53.46651481,2.084615385,14.09784173,11.7,0.197577465,4.327958333,8.194971429,3.347757009,1.394671403,0.37,50.9,33.7,455,12,352,207,19.4,43.8,3.36
WA-098,2,45.161508,-117.450477,GR,None,,53.79,2.13,14.21,11.9,0.19,4.39,8.28,3.15,1.2,0.34,48.8,35.2,485,23.7,348,194,19.4,44.2,3.11
WA-099,2,45.161508,-117.450444,GR,None,,54.03530752,2.147153846,13.50215827,13,0.202309859,3.725458333,7.374171429,3.231588785,1.431616341,0.37,17.1,36.4,610,36.1,321,188,21.5,49.1,5.16
WA-100,2,45.16176,-117.429739,GR,None,,54.94,1.78,14.38,10.2,0.18,4.73,8.31,2.8,1.25,0.24,21.3,31.1,415,24.8,332,162,17.8,39.5,2.94
WA-102,2,45.171341,-117.413013,GR,None,,55.05,2.14,13.74,12.6,0.21,3.91,7.53,3.34,1.22,0.37,9.53,35.3,610,34.1,337,209,21.6,49.4,3.5
WA-103,3,45.177135,-117.411923,Imnaha,None,?,52.44,1.92,14.32,12.7,0.21,4.95,9.11,3.07,0.82,0.28,60.7,39.7,320,24.8,259,178,15.3,34.8,2.31
WA-104,2,45.177135,-117.411856,GR,None,?,50.94482897,1.766104369,15.15626536,12.2,0.212930233,5.353234489,11.20677966,2.994846626,2.302542373,0.29,60.7,41.1,590,28.6,329,161,18.5,42.3,2.96
WA-106,3,45.180732,-117.398825,Imnaha,None,331,52.56,2.25,14.35,11.6,0.2,5.02,9.01,2.84,0.95,0.34,41.3,20.8,460,19.7,417,187,18.4,27.9,1.91
WA-107,2,45.177472,-117.395369,GR,None,,53.37762481,1.924388298,13.662,11.4,0.187004525,4.031272727,7.553883495,2.841852433,1.231578947,0.265309859,9.75,33.3,490,29.2,326.3367609,164.4346895,17.3,36.7,3.65
WA-108,3,45.173432,-117.399171,Imnaha,None,308,52.71,1.96,14.32,12,0.21,4.91,9.15,3.15,0.78,0.29,54,37.7,300,16.7,261,176,14.4,33.6,1.92
WA-109,2,45.173433,-117.399137,GR,None,308,52.40928355,1.662395644,14.91617647,10.7,0.170947368,5.845321477,9.469276596,3.047889908,0.950420168,0.25,179,34.4,390,15.5,384,145,13.3,32.8,2.29
WA-110,4,45.169936,-117.403275,Steens (or Imnaha),None,,53.06,1.67,15.24,10.6,0.17,6.05,9.77,2.96,0.82,0.23,182,34,240,1,386,143,13.7,32.5,2.34
WA-111,0,45.127304,-117.376587,SM (small probability for GR),None,,55.66752515,1.991825349,13.51214724,11.9,0.208046512,3.116237172,6.608135593,3.685911179,1.720547945,0.41,3.85,32.1,700,2,334.4813704,225.1414243,24.8,54.4,4.97
WA-112,2,45.137814,-117.379623,GR,None,,55.79155556,1.985804111,13.39411765,11.5,0.211640625,3.125417237,6.480511364,3.462568807,1.869376314,0.44,3.06,31,740,3,327.0924658,229.5241935,24.3,53,4.62
WA-113,1,45.136504,-117.375325,Wanapum,None,150?,51.54097208,1.473594041,15.14887218,11,0.206066465,6.198601695,10.47567568,2.918508159,0.77037037,0.368325411,149,42.8,340,5,441.7997433,138.1945289,16,36.7,0.681
WA-114,0,45.136504,-117.375279,SM,None,,54.2826087,2.211763975,14.0075188,12,0.186967742,4.299194915,7.890722892,3.10359447,1.378891821,0.358437653,27.9,33.1,585,1,348.5312233,212.1751527,21.2,49.5,4.45
WA-115,0,45.13136,-117.357798,SM,None,,54.21837879,2.26529136,13.73117207,12.6,0.204387097,3.761144165,7.275823009,3.281693291,1.231463208,0.371125802,5.71,33.7,590,1,336.2644416,216.6437768,22,48.8,4.07
WA-116,1,45.131392,-117.357798,Wanapum,None,0,51.39053942,1.456119403,14.85621079,11.2,0.20851665,6.150438059,10.53897281,2.894027149,0.580818713,0.3528,167,45,280,4,377.4893071,124.0082474,14.7,34.5,0.385
WA-117,3,45.183618,-117.291839,Imnaha,None,160,51.49414938,2.416753731,13.73065327,13.2,0.216435484,4.712106503,8.704518072,2.825,0.9378389,0.463965517,31.4,36.5,340,13.5,307.4255137,204.1487603,18.5,42.3,2.36
WA-118,3,45.1826,-117.292641,Imnaha,None,341,51.1833195,2.275186567,14.06037736,13.4,0.220277946,4.867722772,9.202162162,2.78630137,1.021465347,0.308828096,76.9,39.6,390,6,311.8329049,194.5652174,17.2,40.4,2.02
WA-119,2,45.185716,-117.29161,GR,None,,55.53493776,1.516791045,14.59949622,10.5,0.180507042,4.685858491,8.191616766,3.193027523,1.307784431,0.367590629,12.8,37.6,605,3,412.67753,181.5995851,21.1,46,3
WA-120,0,45.187738,-117.294833,SM,None,,55.40041002,2.178423077,13.89928058,11.4,0.165633803,3.173166667,6.696685714,2.999252336,1.911900533,0.45,13.1,28.6,795,1,365.2944206,246.7297297,26.3,60.8,6.16
