Cluster_ID,Number,SiO2,TiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,SR87_SR86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,La,Ce,Nd,Sm,Gd,Yb,Lu,Ba,Hf,Nb,Rb,Sr,Ta,Th,Y,Zr
2,Sun21,54.50151057,0.805639476,18.90231621,8.529707956,3.192346425,8.811681772,3.635448137,1.621349446,0.705277,0.512758,18.727,15.681,39.015,16.1,33.5,18,4.24,3.89,2.16,0.349,409,2.45,3.65,39,530,0.31,5.98,22.3,99
2,Sun22,54.74393802,0.754603079,18.83489285,8.361002113,2.958044069,8.441493108,3.591910655,2.314116108,0.705625,0.512711,18.76,15.678,39.098,18.7,36.2,17.1,3.93,3.36,1.93,0.326,561,2.13,2.77,57,563,0.2,6.91,22.7,91
2,Sun23,53.03562469,0.883090818,18.63522328,9.121926744,3.522328149,9.443050677,3.371801305,1.98695434,0.705741,0.512712,18.769,15.685,39.125,16.8,33.1,17,4.17,3.58,2.02,0.312,488,2.06,2.85,49,514,0.21,6.56,22.5,83
2,Sun24,56.36971724,0.719570285,18.88111888,7.469342252,2.40194588,7.895003547,3.851221243,2.412080673,0.705696,0.512701,18.766,15.684,39.117,20.3,40.4,18.6,4.4,3.49,2.17,0.352,604,2.45,3.27,67,593,0.25,8.91,22.3,105
2,Sun25,53.35621278,0.878166953,18.97648128,8.862420511,3.230039366,9.023922479,3.512667811,2.160088826,0.705663,0.512714,18.763,15.688,39.13,15.6,31.6,16.2,4.15,3.37,2.1,0.345,498,2.12,2.73,55,543,0.2,6.68,22.4,86
2,Sun26,53.21432153,0.812355832,19.025173,8.976030488,3.239394243,9.25684485,3.419917762,2.055962291,0.705826,0.512675,18.78,15.699,39.175,18.4,36.4,18.8,4.37,3.96,2.16,0.323,506,2.24,3.1,51,557,0.24,6.77,22.1,90
2,Sun27,53.91541886,0.789154189,18.85876163,8.65034399,3.257790368,8.963982193,3.49048968,2.074059085,0.705643,0.512686,18.775,15.702,39.178,19,36.5,19.1,4.27,4,2.12,0.338,473,2.32,3.25,51,583,0.25,6.68,22.3,98
2,Sun28,56.07626693,0.692423482,19.11690918,7.476166583,2.448569995,8.158554942,3.773206222,2.257902659,0.705737,0.512723,18.773,15.714,39.195,20.2,39,19.9,4.57,4.2,2.35,0.379,539,2.74,4.06,53,563,0.34,8.04,23.9,113
2,Sun29,52.07914825,0.873844918,18.61189233,9.69264765,3.917235838,9.622338288,3.214142226,1.988750502,0.705711,0.512671,18.727,15.671,39.038,17.3,34.6,18,4.33,3.65,2.01,0.33,425,2.14,2.94,46,560,0.21,6.16,22.8,90
2,Sun30,47.52794281,0.835766791,13.2514349,10.40177223,9.51565804,14.00664586,2.658342564,1.802436814,0.70502,0.51265,18.996,15.64,39.173,38,71.2,34.7,6.78,0.87,1.68,0.27,1136,2.36,7,75,972,0.43,9.502,23,100
