Sample,Lat.,Long.,Coll. Date,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,Sc,V,Cr,Co,Ni,Cu,Zn,Li,Rb,Cs,Sr,Ba,Ba,Y,La,Ce,Nd,Sm,Eu,Gd,Tb,Dy,Yb,Lu,Zr,Hf,Nb,Ta,Th,U
BLO-08,44.591555,-117.262257,26-Aug-90,52.00,1.83,14.80,11.90,0.19,5.18,9.94,3.06,0.76,0.27,40.60,,64.20,42.50,43.00,,,,18.00,0.45,281.00,275.00,278.00,,13.70,34.70,18.00,5.48,1.85,,1.06,,3.35,0.46,164.00,4.88,,0.60,3.39,0.90
BLO-09,44.596638,-117.262209,26-Aug-90,58.60,2.03,13.90,11.40,0.20,2.72,5.00,3.37,2.31,0.37,27.90,,2.10,28.40,7.00,,,,56.00,1.58,305.00,930.00,982.00,,30.40,62.70,28.50,7.49,2.21,,1.25,,3.56,0.50,215.00,6.32,,0.83,8.07,2.30
BLO-10,44.596584,-117.263345,26-Aug-90,49.20,2.12,17.80,11.20,0.16,6.03,8.76,3.31,0.96,0.39,22.30,,88.50,48.30,372.00,,,,17.00,0.88,460.00,340.00,390.00,,18.40,41.30,22.70,6.40,2.02,,0.95,,2.37,0.36,192.00,5.25,,0.91,3.13,1.10
BLO-11,44.600617,-117.263978,26-Aug-90,49.70,2.89,13.60,14.90,0.24,5.20,9.15,2.94,0.91,0.42,41.10,,67.50,44.90,47.00,,,,24.00,0.29,279.00,340.00,391.00,,20.70,48.90,28.10,7.59,2.51,,1.37,,4.09,0.62,226.00,6.74,,0.92,4.06,1.50
BLO-12,44.607883,-117.277645,26-Aug-90,56.20,2.00,13.90,12.40,0.19,3.56,6.69,3.17,1.59,0.30,32.50,,5.60,37.30,20.00,,,,46.00,1.04,339.00,720.00,769.00,,21.70,48.80,25.40,6.43,1.93,,1.08,,3.27,0.49,205.00,5.80,,0.71,5.25,2.10
BLO-13,44.601299,-117.256319,26-Aug-90,49.20,2.59,16.00,12.70,0.20,5.73,9.39,3.03,0.85,0.31,30.20,,112.00,46.40,121.00,,,,14.00,0.42,384.00,310.00,353.00,,16.50,39.80,24.50,6.35,2.10,,0.88,,3.09,0.43,204.00,5.47,,0.87,1.48,1.30
BLO-14,44.599917,-117.259499,26-Aug-90,58.70,2.02,14.10,11.30,0.18,2.36,5.18,3.53,2.25,0.37,27.60,,3.20,26.50,6.00,,,,56.00,1.23,360.00,950.00,1071.00,,28.80,62.40,29.80,7.24,2.21,,0.98,,3.18,0.51,229.00,6.57,,0.87,8.36,1.70
BLO-15,44.585939,-117.26173,26-Aug-90,52.00,2.14,14.20,13.00,0.20,4.98,9.16,3.17,0.89,0.26,37.20,,32.30,41.50,37.00,,,,22.00,0.35,276.00,290.00,320.00,,15.60,35.30,20.80,5.68,1.86,,1.06,,3.84,0.50,180.00,5.09,,0.69,1.96,0.90
BLO-16,"""will locate later"" in notes",26-Aug-90,,52.90,2.06,13.90,13.50,0.24,4.58,8.47,2.96,0.99,0.31,38.60,,28.80,42.30,31.00,,,,16.00,0.42,276.00,320.00,380.00,,15.40,36.40,20.10,6.05,2.02,,1.08,,3.86,0.54,192.00,5.42,,0.71,3.24,1.50
BLO-17,44.524348,-117.284326,19-Jun-92,56.40,1.87,14.20,11.90,0.20,3.58,6.57,3.14,1.75,0.32,31.40,,16.10,35.20,22.00,,,,28.00,1.39,299.00,625.00,755.00,,22.10,50.00,22.60,5.86,1.87,,0.80,,2.58,0.43,180.00,5.34,,0.73,6.06,1.80
BLO-18,44.52885,-117.285325,19-Jun-92,55.20,1.82,14.10,12.70,0.19,4.02,6.76,3.19,1.66,0.32,34.20,,23.60,38.00,23.00,,,,37.00,1.92,309.00,620.00,717.00,,21.60,50.40,23.10,5.74,1.84,,1.02,,2.96,0.46,167.00,5.22,,0.73,6.26,1.90
BLO-19,44.530656,-117.284231,19-Jun-92,56.50,2.03,13.80,11.90,0.17,3.47,6.71,3.28,1.80,0.35,30.60,,7.10,32.80,,,113.00,,44.00,1.44,299.00,750.00,751.00,,24.60,51.30,26.80,6.24,1.80,,0.91,,3.34,0.49,177.00,5.03,,0.70,6.18,2.10
BLO-20,44.531765,-117.282346,19-Jun-92,53.00,2.16,14.10,13.20,0.21,4.54,8.48,3.20,0.90,0.27,38.20,,27.40,39.20,15.00,,108.00,,15.00,0.01,265.00,365.00,370.00,,15.30,36.20,22.90,6.17,2.02,,1.25,,4.78,0.58,167.00,4.88,,0.70,2.21,2.20
BLO-22,44.531615,-117.279477,19-Jun-92,49.50,2.77,16.00,12.80,0.18,5.51,8.67,3.23,0.98,0.41,27.00,,92.10,44.00,70.00,,151.00,,20.00,0.69,385.00,425.00,428.00,,21.70,51.00,33.50,7.53,2.38,,1.12,,4.16,0.51,234.00,5.98,,1.22,2.76,2.30
BLO-23,44.509721,-117.31285,19-Jun-92,51.80,1.63,16.10,11.10,0.18,5.08,10.44,2.94,0.59,0.17,36.70,,83.40,36.10,31.00,,81.00,,10.00,0.48,249.00,205.00,250.00,,10.90,26.20,16.80,4.64,1.49,,0.74,,3.72,0.42,134.00,3.57,,0.41,1.49,1.80
BR-01,44.483719,-117.346772,30-Jul-88,55.00,2.20,13.70,12.80,0.24,3.15,6.79,3.50,1.86,0.77,32.10,,15.20,28.20,14.00,,,,54.00,3.06,345.00,690.00,703.00,,30.10,62.50,37.10,8.84,2.64,,1.43,,4.25,0.57,217.00,5.40,,0.96,5.71,1.70
BR-03,44.402013,-117.304001,30-Jul-88,53.70,2.18,13.70,13.20,0.21,3.87,7.46,3.56,1.65,0.48,33.20,,16.10,36.20,21.00,,,,41.00,3.55,345.00,625.00,651.00,,22.90,47.50,29.90,6.46,1.97,,0.82,,3.69,0.48,195.00,4.65,,0.80,4.15,1.50
BR-04,44.409193,-117.313152,31-Jul-88,55.60,1.94,13.90,12.10,0.18,3.54,7.41,3.23,1.86,0.32,30.00,,16.80,32.70,13.00,,,,50.00,1.68,355.00,710.00,749.00,,22.40,47.70,27.80,6.01,1.81,,0.81,,3.37,0.41,181.00,4.24,,0.67,5.48,1.10
BR-05,44.410229,-117.319772,31-Jul-88,54.50,2.58,13.60,13.00,0.19,3.41,7.22,3.34,1.70,0.40,32.70,,29.50,37.90,16.00,,147.00,,52.00,1.52,287.00,575.00,672.00,,25.40,62.00,28.60,7.35,2.31,,1.41,,4.21,0.59,237.00,6.66,,1.06,4.98,1.90
BR-06,44.403055,-117.287727,31-Jul-88,51.40,1.25,16.30,9.70,0.15,6.27,11.23,2.94,0.51,0.23,40.70,,168.00,39.40,64.00,,,,4.00,2.84,457.00,320.00,354.00,,11.30,24.80,16.10,3.95,1.15,,0.57,,2.77,0.34,104.00,2.53,,0.29,0.73,1.20
BR-07,44.405418,-117.299903,31-Jul-88,52.30,2.27,13.80,13.60,0.23,4.64,8.60,3.18,1.00,0.33,37.80,,20.10,40.40,18.00,,,,25.00,1.54,342.00,330.00,385.00,,16.10,35.30,23.70,6.28,1.92,,0.93,,4.06,0.54,179.00,4.72,,0.52,2.15,1.60
BR-09,44.410169,-117.300563,31-Jul-88,52.80,2.19,14.00,13.00,0.22,4.05,8.98,3.32,1.15,0.34,36.20,,45.00,39.30,43.00,,124.00,,33.00,2.26,269.00,395.00,427.00,,15.90,25.20,21.40,5.51,1.92,,0.80,,3.81,0.57,212.00,5.28,,0.72,2.22,1.90
BR-10,44.409726,-117.300437,31-Jul-88,50.70,2.58,14.70,12.80,0.21,4.84,9.15,3.48,1.08,0.42,30.60,,90.50,41.20,90.00,,109.00,,14.00,1.30,377.00,380.00,426.00,,19.10,43.20,25.80,6.24,2.17,,1.17,,3.37,0.47,212.00,6.09,,0.90,1.98,2.00
BR-12,44.477991,-117.34167,31-Jul-88,55.40,2.16,13.60,12.60,0.22,2.95,6.71,3.70,1.88,0.79,31.80,,18.50,26.90,18.00,,153.00,,34.00,1.13,346.00,650.00,718.00,,29.80,57.00,34.40,7.80,2.48,,1.43,,3.97,0.60,218.00,5.70,,0.76,5.41,2.70
BR-14,44.478179,-117.352837,31-Jul-88,54.00,1.95,14.50,11.30,0.18,4.76,8.69,3.06,1.33,0.34,32.80,,80.70,37.30,39.00,,116.00,,31.00,3.19,388.00,440.00,497.00,,20.20,39.70,22.60,5.75,1.89,,0.76,,2.61,0.45,197.00,5.70,,0.77,3.35,2.30
BR-15,44.47813,-117.352803,31-Jul-88,53.90,2.35,14.10,12.30,0.20,3.85,7.79,3.62,1.45,0.48,36.30,,28.60,36.90,37.00,,145.00,,22.00,0.74,314.00,490.00,575.00,,21.90,54.00,26.30,6.47,2.24,,1.35,,3.78,0.60,211.00,5.93,,0.42,3.36,2.00
BR-16,44.48298,-117.346835,31-Jul-88,55.50,2.20,13.70,12.30,0.21,3.50,7.04,3.34,1.74,0.43,31.80,,11.20,34.80,14.00,,128.00,,50.00,1.96,330.00,630.00,657.00,,25.10,52.00,32.00,7.70,2.15,,1.28,,3.86,0.53,224.00,6.75,,0.96,5.27,2.30
BR-18,44.483965,-117.33009,31-Jul-88,52.70,2.41,14.00,12.30,0.19,4.85,8.88,3.11,1.21,0.36,34.90,,71.20,42.50,37.00,,132.00,,32.00,2.69,326.00,435.00,446.00,,19.10,51.00,26.50,6.52,2.11,,0.97,,3.50,0.48,189.00,4.93,,0.92,3.45,2.00
CVB-1,44.305644,-117.747097,31-Jul-88,55.80,2.02,14.00,12.40,0.18,3.28,6.80,3.32,1.77,0.48,30.50,,5.50,37.20,,,,,42.00,5.79,360.00,765.00,695.00,,25.90,55.30,24.90,6.39,1.94,,1.03,,3.02,0.49,,5.25,,0.84,7.55,2.80
DC-01,44.347113,-117.325785,1-Jun-94,51.10,1.93,15.40,11.50,0.19,5.24,9.25,3.33,1.55,0.50,36.60,,148.00,42.70,,,,,27.00,1.04,379.00,370.00,450.00,,14.80,35.30,21.70,5.51,1.92,,1.00,,3.16,0.45,,4.17,,0.46,1.83,1.50
DC-02,44.344754,-117.328565,1-Jun-94,51.60,1.93,14.70,11.90,0.19,5.39,9.28,3.29,1.30,0.45,37.10,,151.00,42.80,,,,,31.00,0.96,379.00,531.00,385.00,,13.90,35.60,22.70,5.59,1.88,,0.97,,3.14,0.43,,4.30,,0.47,1.71,1.30
DC-03,44.360589,-117.294764,1-Jun-94,53.90,2.21,14.00,12.50,0.20,3.67,7.59,3.32,2.12,0.52,33.40,,13.80,37.80,,,,,49.00,1.51,325.00,482.00,550.00,,21.30,52.20,27.50,6.96,2.20,,1.23,,4.11,0.58,,6.06,,0.98,2.54,1.50
IM-01,44.559963,-117.053791,28-Aug-90,50.30,1.95,17.70,10.30,0.16,5.57,9.93,3.07,0.73,0.28,26.60,,109.00,39.40,89.00,,,,22.00,1.25,401.00,240.00,283.00,,13.20,31.00,12.50,5.17,1.72,,0.99,,2.40,0.33,163.00,3.85,,0.58,1.60,0.70
IM-03,44.561287,-117.051479,28-Aug-90,54.40,2.27,13.40,13.90,0.19,3.80,6.99,3.04,1.59,0.39,34.50,,12.50,38.60,24.00,,,,40.00,0.72,304.00,570.00,592.00,,23.20,51.50,24.00,6.58,2.04,,0.96,,3.63,0.47,185.00,5.15,,0.76,4.83,1.60
IM-04,44.558151,-117.050474,28-Aug-90,55.00,2.43,13.70,12.60,0.21,3.72,7.20,3.05,1.60,0.51,33.10,,11.00,35.60,12.00,,,,44.00,1.06,313.00,550.00,602.00,,25.00,55.30,26.20,7.15,2.18,,1.14,,3.81,0.49,186.00,5.19,,0.64,4.71,1.30
IM-05,44.558143,-117.050497,28-Aug-90,52.50,1.26,15.40,10.10,0.21,6.26,10.53,2.79,0.66,0.29,42.90,,175.00,37.20,50.00,,,,14.00,1.23,330.00,305.00,331.00,,13.40,32.70,15.60,4.49,1.40,,0.64,,2.81,0.37,124.00,3.13,,0.36,1.31,0.50
IM-06,44.557709,-117.052131,28-Aug-90,51.40,2.42,14.70,11.90,0.19,5.41,9.82,2.92,0.89,0.30,36.30,,90.60,41.70,61.00,,,,25.00,1.79,360.00,310.00,333.00,,17.30,39.70,20.40,6.47,2.09,,1.22,,3.28,0.41,178.00,4.95,,0.60,1.66,0.90
IM-07,44.558952,-117.047661,28-Aug-90,53.40,1.98,14.60,12.00,0.19,5.17,7.24,3.66,1.47,0.35,35.40,,42.90,35.70,77.00,,,,39.00,1.97,341.00,545.00,585.00,,18.30,39.80,17.90,6.11,1.83,,0.90,,3.20,0.41,164.00,4.16,,0.56,2.50,1.00
IM-08,44.559642,-117.044848,28-Aug-90,55.60,2.26,13.70,12.40,0.22,3.35,6.62,3.33,1.94,0.58,33.30,,6.20,29.20,11.00,,,,48.00,0.91,305.00,785.00,796.00,,27.10,61.30,26.00,7.78,2.40,,1.25,,4.05,0.52,198.00,5.24,,0.86,5.54,1.50
IM-09,44.561433,-117.044194,28-Aug-90,55.70,1.52,14.40,10.80,0.17,4.27,8.01,3.28,1.48,0.37,36.90,,10.60,34.30,14.00,,,,33.00,2.10,370.00,715.00,740.00,,21.70,45.30,16.30,5.88,1.61,,0.81,,3.31,0.44,169.00,4.42,,0.42,2.69,0.90
IM-10,44.562369,-117.047587,28-Aug-90,56.00,2.24,13.70,12.20,0.20,3.37,6.56,3.22,1.92,0.63,31.90,,7.80,28.30,17.00,,,,55.00,1.10,295.00,720.00,715.00,,25.80,57.80,28.50,7.57,2.31,,1.25,,4.03,0.52,195.00,5.22,,0.88,5.21,1.80
IM-11,44.563059,-117.044812,28-Aug-90,55.00,1.84,14.00,12.10,0.19,4.00,7.80,3.16,1.43,0.45,37.10,,7.70,35.70,14.00,,,,35.00,3.27,393.00,630.00,671.00,,24.40,52.50,19.40,6.64,1.92,,1.01,,3.54,0.48,184.00,4.84,,0.59,3.13,0.90
IM-12,44.564678,-117.043024,28-Aug-90,54.60,1.70,14.10,11.80,0.20,4.38,7.89,3.51,1.38,0.44,37.90,,16.30,35.40,21.00,,,,33.00,1.56,364.00,,641.00,,22.90,50.20,,6.38,1.84,,0.99,,3.61,0.43,184.00,4.57,,0.55,2.82,
IM-13,44.565009,-117.042253,28-Aug-90,53.10,1.41,14.80,10.60,0.16,5.77,10.26,2.74,0.84,0.37,40.90,,80.10,37.20,30.00,,,,17.00,0.76,389.00,340.00,393.00,,16.30,36.50,20.50,4.92,1.52,,0.76,,2.76,0.37,138.00,3.46,,0.43,1.50,0.40
IM-14,44.566167,-117.041406,28-Aug-90,55.10,2.23,14.00,12.50,0.18,3.75,6.53,3.35,1.89,0.44,32.90,,12.10,35.50,18.00,,,,49.00,1.74,299.00,685.00,712.00,,24.60,56.10,29.20,7.23,2.15,,1.16,,3.95,0.51,192.00,5.83,,0.73,5.18,1.90
IM-16,44.568677,-117.033196,28-Aug-90,55.60,1.80,14.40,11.30,0.18,4.14,7.67,3.27,1.39,0.27,33.90,,9.20,39.00,15.00,,,,37.00,0.84,331.00,535.00,573.00,,19.20,43.80,18.90,5.70,1.79,,0.95,,2.80,0.38,171.00,4.76,,0.71,4.68,1.80
IM-18,44.536641,-117.060035,29-Aug-90,52.30,2.35,13.80,13.30,0.23,4.50,9.19,3.01,0.93,0.34,39.00,,43.60,43.10,33.00,,,,25.00,3.53,283.00,325.00,369.00,,16.70,38.70,24.60,6.69,2.13,,1.26,,3.79,0.51,198.00,5.32,,0.66,1.94,0.50
IM-19,44.534816,-117.065889,29-Aug-90,50.70,1.92,18.20,9.50,0.13,5.31,10.20,3.10,0.66,0.26,27.00,,123.00,41.00,97.00,,,,15.00,0.80,412.00,235.00,258.00,,12.40,30.40,17.70,4.76,1.74,,0.79,,2.38,0.31,143.00,3.78,,0.57,1.62,0.20
IM-20,44.535175,-117.065004,29-Aug-90,54.80,2.14,13.60,13.00,0.19,3.68,7.11,3.43,1.74,0.41,33.80,,9.60,38.70,10.00,,,,44.00,1.39,283.00,600.00,639.00,,23.50,49.10,25.60,6.61,1.98,,1.18,,3.39,0.49,195.00,4.85,,0.65,4.29,1.40
IM-21,44.536939,-117.065121,29-Aug-90,54.40,1.61,14.00,12.50,0.18,4.46,7.90,3.21,1.29,0.39,36.90,,14.80,33.00,19.00,,,,28.00,1.31,317.00,645.00,525.00,,20.90,43.90,23.50,5.80,1.70,,0.96,,3.48,0.45,146.00,4.18,,0.55,2.72,0.70
IM-24,44.542091,-117.037362,29-Aug-90,55.50,1.88,14.00,11.60,0.19,3.81,7.80,3.18,1.69,0.33,32.70,,21.60,33.50,26.00,,,,47.00,2.24,315.00,645.00,639.00,,23.10,46.80,23.50,6.13,1.78,,1.21,,3.17,0.47,183.00,4.64,,0.70,4.36,1.50
IM-25,44.538287,-117.040866,29-Aug-90,54.90,2.33,14.00,12.50,0.17,3.59,6.70,3.21,2.08,0.44,30.30,,9.30,32.20,18.00,,,,59.00,1.11,296.00,725.00,753.00,,26.40,52.00,30.30,7.41,1.93,,1.27,,3.69,0.48,221.00,5.20,,0.76,4.91,1.50
LLO-01,Little Lookout Mtn,28-May-94,,55.20,2.13,13.80,12.80,0.19,3.84,6.93,3.32,1.45,0.35,33.20,,20.70,35.60,11.00,,142.00,,32.00,0.82,290.00,615.00,652.00,,21.40,48.00,22.80,6.39,2.07,,0.97,,3.64,0.54,165.00,5.88,,0.69,3.86,2.40
LLO-02,Little Lookout Mtn,28-May-94,,54.80,2.13,13.80,12.90,0.21,3.93,7.51,3.34,1.42,0.00,34.70,,22.60,36.20,16.00,,129.00,,32.00,0.93,305.00,605.00,633.00,,21.60,42.00,25.70,6.49,2.09,,1.30,,3.83,0.54,,4.56,,0.57,4.02,2.40
LLO-03,Little Lookout Mtn,28-May-94,,54.80,2.69,13.70,12.70,0.19,3.75,6.99,3.26,1.58,0.35,32.60,,19.00,33.80,11.00,,140.00,,39.00,1.23,275.00,575.00,640.00,,21.10,35.00,27.70,6.57,1.98,,1.01,,3.69,0.55,176.00,5.59,,0.75,3.88,2.40
LLO-04,Little Lookout Mtn,28-May-94,,54.80,2.38,13.80,12.00,0.19,4.02,7.72,3.05,1.60,0.34,31.80,,45.90,41.80,60.00,,135.00,,33.00,0.56,378.00,530.00,613.00,,22.60,48.00,27.80,6.79,2.10,,1.27,,3.33,0.47,181.00,5.96,,0.93,4.55,1.80
LLO-05,Little Lookout Mtn,28-May-94,,53.90,2.09,14.00,12.40,0.21,4.18,8.24,2.72,1.75,0.47,36.70,,44.40,36.00,17.00,,126.00,,26.00,3.03,345.00,520.00,542.00,,19.20,47.00,27.20,6.39,1.94,,0.69,,3.76,0.55,164.00,4.96,,0.55,3.10,2.70
