SiO2,TiO2,Al2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Ni,Cr,Sc,V,Ba,Rb,Sr,Zr,Y,Nb,Cu,Formation,Member,MemberID,Source,FormationID,Polarity
49.58656358,2.996273826,16.54603819,0.165031725,4.013995438,8.410945515,3.824892041,1.551194327,0.630361973,39.0945,9.9495,28.2405,346.926,543.4035,29.6475,493.053,245.9235,42.9135,16.08,225.8235,Steens,LowerSteens,0,Moore2018,0.0,0.0
50.58479496,2.76471492,16.24745766,0.181261381,3.316574913,8.471099024,3.492794065,1.55253008,0.649391392,36.828,31.383,29.106,273.636,626.472,24.552,513.018,230.2455,40.491,13.959,264.33,Steens,LowerSteens,0,Moore2018,0.0,0.0
51.64686231,2.568646819,15.79542988,0.210961554,4.130349731,7.970883052,3.522430034,1.498758791,0.614128023,43.316,20.776,27.048,305.368,613.578,36.946,488.628,228.452,40.278,14.014,212.366,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.60796327,3.102731706,16.02695015,0.173996113,3.281513587,8.602422998,3.59533646,1.742338577,0.566470251,41.591,2.985,34.3275,414.0195,484.2665,43.4815,436.5065,222.2,42.785,14.0295,307.654,Steens,LowerSteens,0,Moore2018,0.0,0.0
50.38424038,2.779505166,14.36716929,0.20127577,5.383875983,9.149254341,2.997120592,1.411393504,0.394574302,63.0135,118.2885,33.2655,405.417,414.663,28.6425,393.4575,211.3515,39.195,14.3715,204.3165,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.53954878,2.856949741,14.75888501,0.20558487,5.074833884,8.447040951,3.411871044,1.392832942,0.531325284,50.391,38.313,33.066,416.097,493.416,24.057,411.543,210.7485,39.699,13.365,276.309,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.45581425,3.052789675,15.67841877,0.263652296,4.381870873,9.627888387,2.816207561,1.263087185,0.566343304,53.163,49.005,33.561,415.602,387.882,26.73,494.109,209.442,41.283,13.068,303.831,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.42752628,2.880720419,14.90103387,0.191794427,4.726480894,8.746010923,3.51694741,1.468504795,0.530711783,54.6,36.8,34.2,391.7,511.3,25.3,467.4,208.5825,41.3,13.1,280.2,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.04445324,2.983804768,15.19616892,0.20563168,5.433496367,8.374638283,3.359290996,1.329556745,0.559020266,69.597,55.143,31.779,409.959,458.865,25.344,432.432,207.7335,38.412,12.474,136.719,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.25759726,2.862751121,14.11545478,0.209277824,6.116508166,9.939649974,2.942745386,0.956806568,0.398531553,91.9575,361.0965,35.577,425.115,326.424,15.5775,395.97,207.5325,37.989,13.869,242.7075,Steens,LowerSteens,0,Moore2018,0.0,0.0
