SiO2,TiO2,Al2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Formation,Member,MemberID,Source,FormationID,Polarity
49.25759726,2.862751121,14.11545478,0.209277824,6.116508166,9.939649974,2.942745386,0.956806568,0.398531553,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.38793657,2.861000785,14.83447238,0.189712782,4.689592244,8.708249038,3.433419643,1.449773397,0.530308837,Steens,LowerSteens,0,Moore2018,0.0,0.0
50.92859356,2.13333301,15.47403764,0.170586241,6.360001309,8.42921676,3.168031639,1.312440382,0.345707578,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.36255854,2.818385947,15.00502252,0.205761087,5.368161959,8.378551593,3.425551976,1.430068023,0.567968115,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.73766498,2.505829948,14.6043623,0.19812814,6.590975035,10.55293038,2.742956023,0.638667121,0.281297412,Steens,LowerSteens,0,Moore2018,0.0,0.0
52.09204793,2.060321756,16.29297482,0.220466573,4.300260114,8.192758108,3.43248873,1.937175716,0.488774998,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.76309842,2.566710882,15.07342475,0.197636842,6.69201736,10.08707915,3.161680016,0.7131312,0.311442559,Steens,LowerSteens,0,Moore2018,0.0,0.0
47.98738786,2.688000138,15.33074067,0.200999835,7.338225995,8.794404084,2.482287073,1.050714353,0.350227621,Steens,LowerSteens,0,Moore2018,0.0,0.0
50.23206964,2.410135084,14.36396953,0.189002014,6.783548087,10.48736357,2.765657079,0.856580741,0.2632488,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.37822282,2.3087795,16.22113352,0.187209059,5.608917681,9.644892743,3.290546324,0.915254461,0.33018165,Steens,LowerSteens,0,Moore2018,0.0,0.0
50.22558736,2.192345326,16.38351215,0.163535812,5.676774289,9.045349261,3.257588966,1.235928669,0.409481126,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.92343544,2.241801257,18.26602369,0.158572515,5.168075328,9.560521514,3.405993347,0.971651629,0.381432589,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.79420131,2.115888208,15.12988358,0.187001313,8.554362751,9.478999388,2.885560457,0.746604454,0.33525397,Steens,LowerSteens,0,Moore2018,0.0,0.0
50.46414345,2.080523836,17.7803808,0.165377091,4.846152536,9.705539674,3.18653542,1.076589037,0.292632883,Steens,LowerSteens,0,Moore2018,0.0,0.0
50.39102889,1.923190812,17.08035684,0.159281399,6.095041113,10.40411659,2.990853818,0.739111529,0.264421117,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.05352989,2.17639548,15.3483624,0.223316627,7.707460989,9.484771768,2.954210911,0.857070015,0.318203899,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.1630401,2.144531167,17.16276449,0.175382424,5.63541045,9.875381106,3.320390829,0.720953584,0.304500121,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.08014893,2.181042475,18.33733939,0.144136756,5.061162801,9.580614752,3.438270017,0.935326288,0.366269457,Steens,LowerSteens,0,Moore2018,0.0,0.0
48.91,2.22,16.55,0.18,6.64,10.13,3.14,0.69,0.31,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.71,2.22,16.27,0.17,6.96,9.26,3.02,0.88,0.31,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.35402271,1.821174967,14.57327477,0.17204949,9.776953847,10.21059343,2.531500081,0.561566299,0.207896085,Steens,LowerSteens,0,Moore2018,0.0,0.0
49.97,2.243,14.76,0.184,7.43,10.83,2.52,0.61,0.265,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.06,1.786,14.35,0.177,10.66,9.99,2.31,0.57,0.209,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.37,1.89,15.95,0.175,8.05,9.02,3.06,0.64,0.285,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.5,2.007,15.88,0.181,8.16,10.01,2.89,0.52,0.251,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
50.57,1.823,14.82,0.17,9.76,10.05,2.46,0.59,0.213,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
48.95,1.605,14.06,0.132,9.45,9.24,2.19,0.29,0.217,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
48.82,1.722,13.39,0.185,12.02,9.6,2.14,0.57,0.205,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
48.71,1.763,15.28,0.146,8.66,10.29,2.52,0.48,0.258,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
48.03,1.798,15.79,0.172,9.79,10.74,2.26,0.28,0.182,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.49,1.845,16.13,0.166,8.44,10.5,2.58,0.48,0.19,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
49.42,1.67,14.22,0.18,10.72,9.92,2.44,0.51,0.21,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
47.47,1.86,15.18,0.159,9.3,9.78,2.5,0.35,0.224,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
50.21,1.727,15.06,0.176,8.94,10.82,2.36,0.39,0.192,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
47.51,1.777,15.45,0.172,8.77,10.26,2.65,0.41,0.245,Steens,LowerSteens,0,Camp2013Sections,0.0,0.0
