SiO2,TiO2,Al2O3,FeO*,MnO,MgO,CaO,Na2O,K2O,P2O5,Sc,Cr,Rb,Sr,Ba,La,Ce,Th,Formation,FormationID
54.03,1.431,15.9,7.77,0.15,5.71,11.2,2.59,0.84,0.172,38,126,21,260,391,30,48,6,SaddleMountains,0
56.81,1.979,13.89,11.02,0.169,3.46,6.91,3.3,1.92,0.303,35,13,53,311,677,32,48,6,GrandeRonde,2
55.22,1.906,14.06,11.31,0.203,4.17,8.07,3.11,1.4,0.341,29,26,31,318,527,19,49,6,GrandeRonde,2
52.26,2.613,13.73,12.99,0.219,4.79,8.77,2.92,1.08,0.39,38,72,27,295,420,23,49,6,Imnaha,3
51.7,3.106,13.33,13.95,0.209,4.12,8.42,2.87,1.46,0.592,43,28,31,319,576,23,49,6,Wanapum,1
52.76,1.981,14.75,12.34,0.207,4.98,9.04,2.64,0.75,0.314,38,51,21,319,473,25,49,6,GrandeRonde,2
52.77,1.98,14.75,12.34,0.21,4.98,9.04,2.64,0.75,0.31,38,51,21,319,473,25,49,6,GrandeRonde,2
53.97,2.342,13.94,11.98,0.195,4.28,7.99,3.25,1.41,0.392,34,56,28,335,563,25,49,6,GrandeRonde,2
55.57,2.068,13.75,12.23,0.198,3.72,7.32,2.93,1.65,0.322,32,26,45,312,612,25,49,6,GrandeRonde,2
56.49,1.935,13.95,10.91,0.186,3.68,7.22,3.09,1.96,0.331,32,8,51,322,690,25,49,6,GrandeRonde,2
54.61,2.165,13.65,12.24,0.217,3.85,7.61,3.21,1.75,0.425,36,41,37,322,662,26,49,6,GrandeRonde,2
54.23,2.334,14.11,11.89,0.189,4.73,8.09,2.74,1.09,0.328,35,84,28,351,548,27,49,6,GrandeRonde,2
55.75,2.049,13.76,11.76,0.209,3.77,7.38,3.09,1.66,0.328,33,4,42,319,636,28,49,6,GrandeRonde,2
50.46,3.272,13.86,13.09,0.203,5.03,9.24,2.7,1.13,0.784,35,107,22,299,529,33,49,6,Wanapum,1
54.98,1.877,14.13,11.73,0.199,4.2,8.05,2.93,1.34,0.324,30,28,33,328,592,18,50,6,GrandeRonde,2
56.15,2.33,14.45,9.58,0.182,3.98,7.94,3.29,1.43,0.405,44,18,31,348,767,21,50,6,GrandeRonde,2
54.26,2.192,13.76,12.41,0.209,4.04,7.91,2.98,1.63,0.372,43,27,33,325,576,22,50,6,GrandeRonde,2
52.72,2.06,16.31,12.72,0.23,4.34,7.74,2.45,0.83,0.36,41,53,26,290,570,23,50,6,GrandeRonde,2
