SiO2,TiO2,Al2O3,FeO*,MnO,MgO,CaO,Na2O,K2O,P2O5,Sc,Cr,Rb,Sr,Ba,La,Ce,Th,Formation,FormationID
48.78,0.741,18.09,8.53,0.148,9.05,12.36,2.07,0.16,0.084,35,238,3,160,80,2,1,0.1,PictureGorge,5
48.96,0.77,17.58,8.89,0.153,8.91,12.23,2.17,0.24,0.089,36,242,4,173,103,3,1,0.1,PictureGorge,5
48.47,0.726,18.05,8.55,0.152,9.35,12.44,2.03,0.14,0.082,33,236,3,171,72,2,3,0.1,PictureGorge,5
48.82,0.747,18.17,8.62,0.151,8.81,12.32,2.08,0.21,0.084,35,244,3,159,88,1,4,0.1,PictureGorge,5
49.51,0.951,17.42,9.65,0.186,8.03,11.04,2.63,0.24,0.174,41,143,4,326,223,0.1,5,0.1,Wanapum,1
49.51,0.952,17.42,9.66,0.186,8.03,11.04,2.62,0.24,0.174,41,143,4,326,223,0.1,5,0.1,Wanapum,1
49.47,1.347,17.44,10.22,0.178,6.86,11.24,2.59,0.42,0.235,36,193,7,204,222,10,9,0.1,PictureGorge,5
49.29,1.631,16.01,11.05,0.192,7.61,10.65,2.89,0.44,0.24,42,222,5,262,239,4,13,0.1,PictureGorge,5
49.42,1.727,15.81,11.28,0.196,7.03,10.91,2.96,0.41,0.249,41,204,3,276,267,4,13,0.1,PictureGorge,5
50.41,1.175,16.91,9.75,0.179,6.55,11.72,2.73,0.43,0.144,40,188,6,232,197,10,13,0.1,PictureGorge,5
51.72,1.451,15.35,11.33,0.217,5.72,9.79,3.15,0.73,0.33,38,96,5,342,434,0.1,14,0.1,Wanapum,1
50.23,0.906,17.59,8.92,0.167,7.06,12.18,2.47,0.35,0.112,40,185,3,185,159,2,14,0.1,PictureGorge,5
50,1.412,16.06,9.38,0.151,8.29,11.32,2.58,0.45,0.164,32,282,8,247,193,9,17,0.1,SaddleMountains,0
48.64,1.644,16.66,10.66,0.168,8.29,10.43,2.69,0.6,0.211,28,358,7,402,160,10,17,0.1,Steens,4
50.97,2.013,14.57,13.13,0.211,5.23,9.89,3.05,0.65,0.295,44,56,10,188,390,14,17,0.1,PictureGorge,5
50.93,1.479,15.38,11.36,0.209,6.36,10.46,3.04,0.56,0.207,43,125,7,208,265,9,18,0.1,PictureGorge,5
51.21,1.627,15.14,11.77,0.2,5.88,10.67,2.82,0.48,0.196,41,153,12,270,206,8,19,0.1,Imnaha,3
49.02,1.676,14.17,11.35,0.184,10.45,9.99,2.46,0.48,0.217,31,640,8,344,191,10,19,0.1,Steens,4
51,1.367,15.15,11.82,0.22,6.51,10.6,2.45,0.46,0.259,41,87,9,376,327,3,20,0.1,Wanapum,1
51.83,1.55,15.16,11.04,0.186,5.72,10.39,3.16,0.74,0.226,45,91,10,227,301,13,20,0.1,PictureGorge,5
53.94,1.092,15.33,9.12,0.174,6.16,10.22,2.85,0.66,0.251,46,106,11,392,477,20,20,0.1,GrandeRonde,2
49.9,1.45,16.51,9.49,0.148,7.79,11.64,2.25,0.44,0.175,30,293,8,250,191,6,21,0.1,SaddleMountains,0
50.64,1.388,16.16,9.39,0.16,7.94,11.23,2.23,0.49,0.169,36,294,9,245,203,0.1,22,0.1,SaddleMountains,0
50.64,1.389,16.15,9.39,0.16,7.94,11.23,2.23,0.49,0.169,36,294,9,245,203,0.1,22,0.1,SaddleMountains,0
50.64,1.389,16.15,9.39,0.16,7.94,11.23,2.23,0.49,0.169,36,294,9,245,203,0.1,22,0.1,SaddleMountains,0
50.28,2.105,15.65,11.61,0.172,6.51,9.49,3.04,0.66,0.28,29,125,16,376,212,2,22,0.1,Imnaha,3
51.45,1.636,14.88,11.69,0.201,5.86,10.36,3.16,0.52,0.229,47,122,6,217,292,10,22,0.1,PictureGorge,5
52.6,2.07,13.85,13.78,0.227,4.34,8.5,3.3,0.98,0.366,43,29,16,199,465,11,22,0.1,PictureGorge,5
51.59,1.686,14.58,11.28,0.179,6.33,10.98,2.54,0.46,0.199,37,68,7,238,278,22,22,0.1,SaddleMountains,0
54.75,1.187,14.86,9.56,0.163,5.73,9.45,2.96,0.86,0.28,43,87,19,376,414,7,23,0.1,GrandeRonde,2
48.39,2.002,16.04,11.5,0.181,8.08,10.13,2.91,0.51,0.251,30,290,6,396,178,10,23,0.1,Steens,4
52.75,1.891,14.15,12.85,0.212,4.83,9.17,2.98,0.86,0.323,43,31,16,201,391,10,23,0.1,PictureGorge,5
51.36,1.571,16.23,10.99,0.189,5.27,10.92,2.8,0.45,0.214,36,105,10,291,236,13,23,0.1,Imnaha,3
49.36,0.956,17.09,10.25,0.182,7.94,11.11,2.53,0.24,0.174,37,145,4,333,129,8,24,0.1,Wanapum,1
49.71,1.86,15.26,10.41,0.171,8.66,10.43,2.61,0.68,0.209,30,411,13,301,167,11,24,0.1,Steens,4
48.14,2.101,15.96,11.78,0.182,7.93,10.25,2.9,0.53,0.246,31,315,7,371,183,11,24,0.1,Steens,4
50.24,1.393,16.48,9.03,0.156,8.06,11.59,2.24,0.4,0.176,34,316,6,249,461,14,24,0.1,SaddleMountains,0
49.08,2.006,16.14,11.44,0.17,7.63,9.8,2.92,0.58,0.237,28,181,9,378,182,9,25,0.1,Steens,4
49.87,1.407,16.42,9.21,0.16,8.19,11.68,2.28,0.4,0.167,33,303,8,252,224,9,25,0.1,SaddleMountains,0
48.36,1.955,17.52,11.8,0.169,6.57,9.3,3.3,0.72,0.3,24,46,8,590,306,14,25,0.1,Steens,4
51.26,1.718,14.75,12.15,0.199,5.88,10.6,2.75,0.48,0.207,41,135,9,267,193,10,26,0.1,Imnaha,3
48.46,1.903,15.87,12.6,0.176,7.99,9.01,3.07,0.64,0.286,26,192,9,451,238,10,26,0.1,Steens,4
53.36,1.501,15.3,10.41,0.187,5.5,9.36,3.18,0.95,0.247,41,43,13,294,489,10,26,0.1,PictureGorge,5
49.46,1.814,14.69,10.69,0.175,9.68,10.17,2.53,0.59,0.211,29,516,11,302,169,12,26,0.1,Steens,4
48.35,2.26,15.26,13.06,0.199,7.43,9.32,3.12,0.7,0.306,32,147,9,438,253,15,26,0.1,Steens,4
49.17,1.817,14.73,11.22,0.18,9.47,10.09,2.5,0.59,0.228,29,663,9,337,230,10,27,0.1,PictureGorge,5
50.33,1.471,16.04,10.07,0.154,7.52,11.08,2.41,0.46,0.189,35,255,8,275,833,13,27,0.1,SaddleMountains,0
50.33,1.471,16.04,10.07,0.153,7.52,11.08,2.41,0.46,0.188,35,255,8,275,833,13,27,0.1,SaddleMountains,0
50.15,1.471,16.43,9.7,0.166,7.59,11.4,2.27,0.43,0.185,34,295,9,257,220,17,27,0.1,SaddleMountains,0
54.56,2.068,14.4,11.19,0.197,4.45,8.2,3.18,1.21,0.314,37,25,27,337,528,22,27,0.1,GrandeRonde,2
49.22,0.954,17.61,9.84,0.186,7.83,11.13,2.67,0.21,0.179,40,153,2,326,131,0.1,28,0.1,Wanapum,1
49.22,0.955,17.61,9.85,0.185,7.83,11.13,2.67,0.21,0.178,40,153,2,326,131,0.1,28,0.1,Wanapum,1
50.74,1.406,15.92,9.77,0.148,7.63,11.15,2.41,0.45,0.182,34,271,8,251,288,0.1,28,0.1,SaddleMountains,0
50.73,1.406,15.92,9.77,0.148,7.63,11.15,2.4,0.45,0.182,34,271,8,251,288,0.1,28,0.1,SaddleMountains,0
53.93,1.522,16.62,7.13,0.138,4.51,11.44,3.39,0.72,0.361,47,185,11,424,320,0.1,28,0.1,Wanapum,1
51.09,1.398,15.32,11.2,0.213,6.26,10.3,3.17,0.5,0.325,47,168,6,392,354,9,28,0.1,Wanapum,1
50.63,1.382,16.51,8.72,0.148,7.74,11.75,2.33,0.42,0.179,35,295,8,251,147,11,28,0.1,SaddleMountains,0
50.63,1.382,16.51,8.73,0.148,7.74,11.75,2.33,0.42,0.179,35,295,8,251,147,11,28,0.1,SaddleMountains,0
53,1.337,15.52,9.81,0.145,5.44,10.23,3.28,0.71,0.312,45,169,14,388,309,11,28,0.1,Wanapum,1
49.56,2.218,16.78,11.43,0.17,5.77,10.59,2.82,0.41,0.254,32,131,5,408,221,12,28,0.1,Imnaha,3
49.38,1.911,16.25,10.96,0.176,7.16,10.21,3.08,0.56,0.305,26,98,8,492,260,12,28,0.1,Steens,4
48.5,1.951,16.69,11.59,0.188,7.52,9.75,2.77,0.72,0.296,32,141,12,567,294,12,28,0.1,Steens,4
49.07,1.976,16.67,11.32,0.182,6.77,9.52,2,2.23,0.247,30,127,58,370,238,13,28,0.1,Imnaha,3
50.72,1.706,15.09,11.9,0.203,6.39,10.54,2.86,0.35,0.239,41,158,9,318,241,14,28,0.1,Imnaha,3
49.71,1.8,19.64,9.45,0.147,4.43,10.84,3.17,0.56,0.251,23,169,7,523,238,15,28,0.1,PictureGorge,5
50.28,1.427,16.19,9.85,0.154,7.69,11.37,2.19,0.5,0.166,34,282,10,246,207,19,28,0.1,SaddleMountains,0
52.01,1.388,14.99,10.51,0.176,6.44,10.54,2.94,0.47,0.329,41,165,1,386,310,20,28,0.1,Wanapum,1
52.37,1.85,15.14,10.43,0.167,5.79,10.78,2.61,0.46,0.232,41,72,10,243,245,15,29,0.1,SaddleMountains,0
50.98,1.501,16.89,8.56,0.178,6.84,11.99,2.32,0.33,0.191,35,308,6,267,229,16,29,0.1,SaddleMountains,0
50.02,1.418,16.1,9.44,0.159,8.26,11.28,2.46,0.49,0.175,29,280,12,241,191,3,30,0.1,SaddleMountains,0
48.92,2.076,17.27,11.38,0.171,6.11,9.89,3.22,0.67,0.294,28,91,10,499,250,9,30,0.1,Steens,4
49.43,2.222,16.47,11.12,0.177,6.35,10.01,3.08,0.83,0.313,27,191,12,440,268,14,30,0.1,Steens,4
51.45,1.495,16.81,8.88,0.151,6.27,11.6,2.34,0.58,0.188,34,296,10,263,300,15,30,0.1,SaddleMountains,0
53.12,1.861,14.24,12.26,0.211,4.84,8.62,3.44,1.12,0.289,41,35,19,200,399,13,31,0.1,PictureGorge,5
52.21,1.793,14.94,11.42,0.19,4.87,10.4,3.08,0.66,0.223,47,152,12,269,216,24,31,0.1,Imnaha,3
50.59,1.464,16.18,9.04,0.154,6.59,12.65,2.29,0.62,0.192,29,268,14,327,385,8,32,0.1,SaddleMountains,0
50.29,1.433,16,9.72,0.162,8.02,11.19,2.23,0.56,0.187,33,292,11,250,245,15,32,0.1,SaddleMountains,0
50.22,1.436,16.11,9.67,0.158,7.93,11.26,2.28,0.53,0.183,33,284,11,254,234,16,32,0.1,SaddleMountains,0
50.66,1.458,16.19,9.6,0.157,7.23,11.46,2.25,0.58,0.187,33,290,12,258,248,16,32,0.1,SaddleMountains,0
50.55,1.5,16.45,9.69,0.164,7.41,11.1,2.27,0.44,0.208,32,277,9,256,251,16,32,0.1,SaddleMountains,0
50.6,1.457,16.47,9.65,0.149,7.1,11.45,2.33,0.37,0.186,38,277,7,278,542,9,33,0.1,SaddleMountains,0
50.51,1.441,16.07,9.83,0.157,7.55,11.28,2.24,0.52,0.185,32,283,12,251,260,10,33,0.1,SaddleMountains,0
50.42,2.408,14.72,11.58,0.19,6.33,10.33,2.91,0.82,0.29,35,309,12,339,234,12,33,0.1,Steens,4
49.61,1.974,17.93,10.17,0.158,5.88,10.38,3,0.62,0.282,27,158,12,499,237,12,33,0.1,Steens,4
49.8,2.192,15.9,11.79,0.19,6.69,9.64,2.88,0.63,0.273,31,127,15,368,244,15,33,0.1,Imnaha,3
53.34,2.072,14.43,12.44,0.19,4.4,8.5,3.22,0.87,0.318,39,35,20,333,513,22,33,0.1,GrandeRonde,2
49.35,0.957,17.09,10.25,0.182,7.94,11.11,2.53,0.24,0.174,37,145,4,333,129,8,34,0.1,Wanapum,1
49.78,2.226,16.52,10.84,0.178,6.52,9.65,3.12,0.86,0.305,28,181,12,445,273,14,34,0.1,PictureGorge,5
48.86,1.997,17.13,12.19,0.185,6.11,8.66,3.62,0.9,0.349,25,50,9,714,390,16,34,0.1,Steens,4
48.84,2.227,15.55,11.98,0.186,7.16,10.15,2.89,0.72,0.29,31,242,11,415,270,18,34,0.1,Steens,4
49.84,1.457,16.12,9.6,0.168,8.34,11.27,2.3,0.53,0.184,34,277,7,247,241,0.1,35,0.1,SaddleMountains,0
50.59,2.203,16.99,10.77,0.166,5.22,9.84,3.12,0.81,0.296,28,114,19,399,308,15,35,0.1,Imnaha,3
53.96,1.582,14.98,10.33,0.155,5.29,9.54,2.8,0.91,0.248,41,142,18,311,350,15,35,0.1,GrandeRonde,2
53.97,1.116,14.98,9.05,0.172,6.28,10.18,2.98,0.82,0.256,44,91,17,388,417,19,35,0.1,GrandeRonde,2
53.31,1.624,14.74,10.88,0.182,5.52,9.55,2.7,1,0.253,39,121,25,318,498,20,35,0.1,GrandeRonde,2
54.95,1.949,13.95,11.61,0.206,4.08,7.75,3.38,1.53,0.368,42,32,36,319,551,19,36,0.1,GrandeRonde,2
49.54,2.14,19.24,10.48,0.163,3.96,9.28,3.71,1.06,0.412,23,34,16,633,429,17,37,0.1,Steens,4
54.54,2.018,14.05,11.47,0.213,4.65,8.55,2.62,1.36,0.318,46,38,29,312,482,32,38,0.1,GrandeRonde,2
54.67,1.757,14.4,10.97,0.204,4.74,8.59,3.02,1.17,0.279,36,18,30,329,487,18,39,0.1,GrandeRonde,2
49.32,2.094,18.98,10.71,0.155,4.47,9.45,3.53,0.92,0.381,22,69,10,600,396,20,39,0.1,Steens,4
49.35,2.09,17.14,12,0.186,5.82,8.39,3.51,1.13,0.383,25,84,19,537,443,22,39,0.1,Steens,4
48.53,2.453,16.62,12.47,0.186,6.62,8.86,3.16,0.78,0.32,24,93,17,379,281,15,40,0.1,Imnaha,3
50.32,2.804,15.17,12.36,0.195,5.12,9.2,3.26,1.19,0.386,30,77,20,389,337,19,40,0.1,Steens,4
52.19,1.886,15.1,10.18,0.169,5.94,11.11,2.51,0.51,0.216,35,64,7,251,365,23,40,0.1,SaddleMountains,0
48.1,2.43,16.59,12.46,0.196,6.32,9.07,3.44,0.97,0.426,27,141,11,502,403,15,41,0.1,Steens,4
51.71,1.396,15.01,10.76,0.191,6.28,10.44,3.1,0.57,0.334,45,160,8,393,323,21,41,0.1,Wanapum,1
51.68,1.892,14.38,11.48,0.183,6.29,10.53,2.56,0.57,0.258,39,64,11,230,257,8,42,0.1,SaddleMountains,0
50.21,1.41,16.1,9.57,0.165,8.1,11.34,2.27,0.48,0.157,26,281,7,250,326,17,42,0.1,SaddleMountains,0
54.96,1.717,14.55,10.25,0.18,4.83,8.78,3.01,1.25,0.26,36,21,31,338,494,18,42,0.1,GrandeRonde,2
49.91,2.755,14.73,12.7,0.202,5.68,9.33,3.18,1.1,0.395,33,138,21,373,321,17,43,0.1,Steens,4
51.66,1.678,14.46,10.88,0.186,6.73,10.94,2.58,0.51,0.202,38,71,8,234,221,18,43,0.1,SaddleMountains,0
51.96,2.025,15.99,11.73,0.183,4.63,9.55,3.01,0.43,0.295,43,59,7,336,321,19,43,0.1,GrandeRonde,2
55.2,1.913,14.19,10.88,0.186,4.44,8.32,3.09,1.29,0.282,34,17,30,330,526,20,43,0.1,GrandeRonde,2
51.56,1.815,14.35,11.3,0.19,6.63,10.69,2.49,0.56,0.24,41,62,10,234,263,31,43,0.1,SaddleMountains,0
51.44,1.766,14.28,11.44,0.193,6.6,10.84,2.49,0.57,0.218,38,68,9,238,270,2,44,0.1,SaddleMountains,0
53.89,1.778,14.1,12.55,0.332,4.09,8.32,3.06,1.38,0.292,36,25,31,318,505,4,44,0.1,GrandeRonde,2
51.21,1.812,14.25,11.54,0.239,6.36,11.09,2.5,0.59,0.235,33,62,8,241,281,13,44,0.1,SaddleMountains,0
51.72,1.796,14.62,11.06,0.193,6.39,10.69,2.56,0.55,0.237,45,65,10,236,320,17,44,0.1,SaddleMountains,0
57.03,2.047,14.03,10.77,0.195,3.53,7.24,2.75,1.83,0.342,37,25,46,317,722,7,45,0.1,GrandeRonde,2
54.51,2.165,13.83,11.93,0.204,4.09,8.05,3.14,1.49,0.365,37,17,35,332,581,19,45,0.1,GrandeRonde,2
54.59,2.251,13.74,11.99,0.263,3.92,7.75,3.38,1.44,0.428,36,19,36,328,600,22,46,0.1,GrandeRonde,2
52.31,1.877,15.09,12.24,0.2,5.35,9.28,2.55,0.63,0.262,38,58,13,312,401,20,47,0.1,GrandeRonde,2
54.61,2.25,13.91,12.19,0.204,3.64,8.07,3.09,1.4,0.39,36,15,36,336,627,22,47,0.1,GrandeRonde,2
50.92,1.421,16.11,9.57,0.159,7.79,10.82,2.26,0.55,0.209,34,269,10,239,235,11,48,0.1,SaddleMountains,0
50.92,1.421,16.11,9.57,0.159,7.79,10.82,2.26,0.55,0.208,34,269,10,239,235,11,48,0.1,SaddleMountains,0
52.2,1.775,15.36,9.37,0.182,6.29,11.34,2.62,0.48,0.213,44,75,7,247,275,13,48,0.1,SaddleMountains,0
54.77,2.156,13.87,12.04,0.203,3.8,8.08,3.03,1.44,0.378,35,17,37,340,675,22,48,0.1,GrandeRonde,2
50.03,1.457,16.32,9.46,0.161,8.16,11.16,2.22,0.64,0.187,26,273,8,246,255,6,49,0.1,SaddleMountains,0
53.7,1.183,15.14,9.68,0.17,5.88,10.26,2.87,0.65,0.266,44,94,14,398,372,3,50,0.1,GrandeRonde,2
54.45,2.284,13.72,12.22,0.212,3.84,7.92,3.11,1.57,0.437,37,21,37,340,612,22,50,0.1,GrandeRonde,2
52.45,1.731,14.9,10.79,0.167,6,9.32,2.53,1.48,0.394,27,117,31,264,630,25,50,0.1,SaddleMountains,0
52.94,1.326,14.92,9.36,0.175,6.78,10.96,2.44,0.71,0.17,33,141,14,254,568,29,50,0.1,SaddleMountains,0
50.95,1.644,14.66,11.05,0.192,7.01,11.09,2.45,0.56,0.209,35,83,11,244,272,11,51,0.1,SaddleMountains,0
48.57,3.005,15.07,13.41,0.213,5.63,8.76,3.52,1.26,0.563,32,85,16,459,482,24,51,0.1,Steens,4
55.19,2.122,13.82,12.3,0.195,3.59,7.52,3.05,1.6,0.378,35,10,39,320,689,20,52,0.1,GrandeRonde,2
53.81,2.345,13.78,12.15,0.231,4.23,8.19,3.15,1.41,0.461,39,19,30,309,534,22,52,0.1,GrandeRonde,2
49.95,3.232,13.37,13.74,0.235,5.39,9.13,2.8,1.12,0.795,40,104,27,280,448,5,53,0.1,Wanapum,1
54.54,2.53,13.72,12.19,0.198,3.54,7.31,3.23,2.03,0.471,33,33,46,317,676,18,53,0.1,GrandeRonde,2
51.32,1.738,14.39,11.39,0.196,6.91,10.77,2.38,0.52,0.221,38,70,11,232,206,8,54,0.1,SaddleMountains,0
48.81,2.138,15.29,11.32,0.208,7.45,11.28,2.34,0.4,0.498,38,290,5,260,447,28,55,0.1,SaddleMountains,0
51.59,2.71,13.46,13.54,0.216,4.99,8.8,2.81,1.28,0.378,40,46,24,281,501,43,55,0.1,SaddleMountains,0
50.16,3.268,13.73,13.53,0.218,4.87,9.41,2.75,1.06,0.766,37,109,23,298,459,29,56,0.1,Wanapum,1
50.11,3.223,13.67,13.08,0.236,5.52,9.3,2.72,1.12,0.786,39,102,23,283,501,29,56,0.1,Wanapum,1
52.61,3.061,14.27,12.27,0.211,3.75,8.69,3.21,1.22,0.463,39,50,33,299,454,18,57,0.1,Imnaha,3
50.15,1.433,16.2,9.8,0.156,7.98,11.12,2.19,0.57,0.194,31,267,12,250,251,21,58,0.1,SaddleMountains,0
49.67,3.243,13.48,13.88,0.236,5.42,9.22,2.69,1.16,0.768,36,102,25,283,481,13,59,0.1,Wanapum,1
55.46,2.412,13.54,12.3,0.189,3.14,6.77,3.49,1.98,0.464,36,25,53,310,701,30,59,0.1,GrandeRonde,2
50.49,3.325,13.96,12.64,0.258,4.88,9.81,2.59,0.97,0.796,41,97,32,308,772,28,60,0.1,Wanapum,1
52.06,1.914,15.59,9.75,0.172,5.79,11.22,2.67,0.41,0.241,47,68,5,257,398,35,60,0.1,SaddleMountains,0
52.25,2.987,13.53,13.1,0.21,4.39,8.38,2.88,1.58,0.432,33,36,26,286,670,26,61,0.1,SaddleMountains,0
52.29,1.702,15.01,10.78,0.17,6.17,9.41,2.49,1.36,0.38,32,128,29,260,609,44,61,0.1,SaddleMountains,0
51.15,2.56,17.65,7.19,0.126,4.79,12.5,2.71,0.46,0.588,43,328,7,303,497,34,64,0.1,SaddleMountains,0
53.11,2.333,15.92,11.46,0.18,3.22,6.43,4.34,2.24,0.756,21,3,34,665,888,33,65,0.1,Steens,4
49.5,2.551,14.45,11.33,0.213,6.75,11.36,2.5,0.51,0.588,44,262,8,248,450,29,66,0.1,SaddleMountains,0
49.36,2.425,14.46,11.61,0.197,6.94,11.19,2.48,0.5,0.575,43,269,8,249,434,31,66,0.1,SaddleMountains,0
49.44,2.534,14.35,11.6,0.204,6.85,11.26,2.42,0.49,0.586,44,260,8,246,517,30,67,0.1,SaddleMountains,0
49.91,2.75,14.55,11.41,0.27,5.5,11.64,2.53,0.47,0.654,44,258,6,268,784,34,71,0.1,SaddleMountains,0
49.73,2.497,14.27,11.76,0.194,6.73,11.03,2.4,0.54,0.601,44,245,9,238,381,34,79,0.1,SaddleMountains,0
49.72,2.497,14.26,11.76,0.193,6.74,11.04,2.41,0.54,0.6,44,245,9,238,381,34,79,0.1,SaddleMountains,0
53.04,3.098,14.23,11.78,0.212,3.76,8.77,2.8,1.59,0.444,36,36,29,318,739,34,79,0.1,SaddleMountains,0
53.8,1.882,14.33,11.52,0.177,4.7,8.32,2.61,1.89,0.503,33,42,41,278,857,46,93,0.1,SaddleMountains,0
51.65,1.463,14.73,11.21,0.191,6.19,10.09,3.18,0.74,0.344,48,150,10,372,320,5,15,1,Wanapum,1
51.34,1.735,14.72,11.23,0.183,6.45,11.04,2.47,0.46,0.2,37,67,8,238,248,22,20,1,SaddleMountains,0
49.86,1.446,16.29,9.51,0.154,8.2,11.5,2.22,0.46,0.155,31,295,8,243,231,24,20,1,SaddleMountains,0
51.46,1.373,15.18,11.68,0.213,6.16,9.74,2.93,0.73,0.319,43,109,11,320,373,10,21,1,Wanapum,1
52.46,1.669,14.39,11.32,0.197,5.59,10.02,3.02,0.85,0.28,45,119,15,371,410,10,21,1,GrandeRonde,2
49.85,1.707,15.54,10.21,0.172,7.85,11.29,2.32,0.48,0.379,34,291,9,251,318,14,21,1,SaddleMountains,0
50.41,1.44,16.22,9.5,0.158,7.72,11.4,2.23,0.53,0.178,32,299,9,243,324,16,21,1,SaddleMountains,0
51.76,1.674,14.45,12.05,0.196,5.85,10.34,2.78,0.47,0.224,39,174,10,266,143,10,22,1,Imnaha,3
50.82,1.455,16.26,9.43,0.155,7.44,11.23,2.39,0.45,0.171,35,283,8,237,215,18,22,1,SaddleMountains,0
50.26,1.437,15.82,9.98,0.158,7.63,11.43,2.42,0.48,0.187,38,271,10,251,315,0.1,23,1,SaddleMountains,0
50.26,1.437,15.82,9.98,0.158,7.62,11.43,2.42,0.48,0.187,38,271,10,251,315,0.1,23,1,SaddleMountains,0
49.68,0.933,17.14,9.69,0.178,8.24,10.92,2.62,0.27,0.164,46,150,2,316,143,6,24,1,Wanapum,1
49.68,0.933,17.14,9.69,0.178,8.24,10.92,2.61,0.27,0.164,46,150,2,316,143,6,24,1,Wanapum,1
50.97,1.498,16.36,9.08,0.152,7.53,11.12,2.22,0.66,0.218,33,262,12,250,280,19,24,1,SaddleMountains,0
51.83,1.352,15,10.81,0.184,6.2,10.6,2.92,0.57,0.32,48,173,7,391,278,0.1,25,1,Wanapum,1
51.36,1.65,16.29,11.08,0.187,5.08,10.72,2.93,0.47,0.224,38,83,13,321,237,13,25,1,Imnaha,3
49.39,1.814,14.74,10.46,0.172,9.82,10.29,2.57,0.55,0.207,31,488,9,305,167,10,26,1,Steens,4
49.23,1.451,16.43,10.02,0.162,8.43,11.45,2.17,0.31,0.158,37,292,3,245,181,27,26,1,SaddleMountains,0
53.96,1.163,15.09,9.61,0.18,5.91,9.94,2.95,0.72,0.272,47,98,13,383,383,34,26,1,GrandeRonde,2
48.47,1.837,15.97,11.11,0.173,8.69,10.51,2.56,0.48,0.193,30,362,6,344,129,7,27,1,Steens,4
51.96,1.383,14.96,10.84,0.182,6.09,10.27,3.1,0.69,0.315,47,172,10,366,272,9,27,1,Wanapum,1
50.04,1.458,16.14,9.5,0.161,8.15,11.43,2.34,0.39,0.179,35,301,5,246,287,11,27,1,SaddleMountains,0
49.99,1.412,16.04,9.66,0.161,8.33,11.52,2.19,0.36,0.156,29,283,6,251,171,10,28,1,SaddleMountains,0
50.6,1.959,16.12,10.28,0.167,6.75,10.35,2.85,0.69,0.232,30,294,14,316,212,11,28,1,Steens,4
53.98,1.23,14.96,9.89,0.179,5.68,9.79,2.98,0.79,0.33,43,88,17,380,433,12,28,1,GrandeRonde,2
54.46,1.109,15,9.22,0.178,6.07,10,2.69,0.81,0.267,41,109,17,385,384,13,28,1,GrandeRonde,2
54.13,1.121,15.25,8.86,0.169,6.05,10.48,2.73,0.74,0.265,46,110,17,387,374,21,28,1,GrandeRonde,2
48.83,1.556,17.18,11.02,0.164,7.78,10.72,2.17,0.2,0.168,35,289,5,250,323,23,28,1,SaddleMountains,0
50.34,1.425,16.3,9.48,0.147,7.13,12.07,2.24,0.49,0.168,33,286,11,262,398,25,28,1,SaddleMountains,0
51.91,1.56,15.95,11.02,0.183,5.24,10.51,2.74,0.47,0.223,41,105,12,283,198,1,29,1,Imnaha,3
49.82,1.897,17.59,10.49,0.166,6.12,10.2,2.95,0.52,0.243,28,103,7,430,224,12,29,1,Imnaha,3
49.44,1.85,17.64,12.28,0.189,4.85,9.47,3.2,0.56,0.297,25,44,8,487,252,2,30,1,Imnaha,3
51.58,1.428,15.27,11.54,0.212,5.83,9.69,3.08,0.82,0.332,41,85,12,344,408,14,30,1,Wanapum,1
51.19,1.928,14.78,12.6,0.225,5.25,10.26,2.93,0.57,0.274,40,85,15,236,259,18,30,1,Imnaha,3
53.73,1.112,15.07,9.15,0.172,6.34,10.24,3.01,0.73,0.254,41,96,15,385,368,1,31,1,GrandeRonde,2
51.79,1.731,14.61,10.63,0.188,6.54,11.1,2.49,0.55,0.205,42,68,8,236,261,7,31,1,SaddleMountains,0
49.06,1.943,16.65,11.69,0.179,7.05,9.57,2.53,1.09,0.245,27,135,27,611,273,9,31,1,Imnaha,3
48.87,2.266,15.72,11.97,0.185,7.09,9.41,2.23,1.98,0.27,31,221,88,357,247,12,31,1,Imnaha,3
50.66,1.464,16.09,9.38,0.16,7.98,10.85,2.41,0.61,0.204,31,258,12,242,261,14,31,1,SaddleMountains,0
53.53,1.102,15.07,9.34,0.172,6.4,10.37,2.9,0.67,0.24,48,99,13,388,362,19,31,1,GrandeRonde,2
50.48,1.476,16.41,9.59,0.155,7.53,11.15,2.24,0.57,0.191,33,288,11,251,278,12,32,1,SaddleMountains,0
50.78,1.452,16.11,8.89,0.159,8.18,11.25,2.3,0.52,0.175,31,289,10,241,172,2,33,1,SaddleMountains,0
50.78,1.453,16.11,8.89,0.158,8.18,11.25,2.3,0.51,0.174,31,289,10,241,172,2,33,1,SaddleMountains,0
50.45,1.445,16.26,9.17,0.159,7.15,12.17,2.19,0.59,0.189,23,277,11,271,437,7,33,1,SaddleMountains,0
51.41,2.011,14.84,12.62,0.219,4.98,10.07,2.92,0.64,0.287,40,79,21,238,270,15,33,1,Imnaha,3
53.89,1.806,14.48,11.36,0.185,4.68,8.81,3.2,1.11,0.276,42,51,28,314,488,15,33,1,GrandeRonde,2
51.59,1.799,15.51,9.39,0.175,6.41,11.68,2.66,0.39,0.208,42,80,5,254,237,22,33,1,SaddleMountains,0
49.6,1.466,16.24,9.76,0.164,8.25,11.22,2.37,0.53,0.192,30,276,8,251,234,12,34,1,SaddleMountains,0
