Trend,Volcano,SIO2(WT%),TIO2(WT%),AL2O3(WT%),CAO(WT%),MGO(WT%),MNO(WT%),K2O(WT%),NA2O(WT%),P2O5(WT%),PB206_PB204,PB207_PB204,PB208_PB204
0,1,51.79,2.02,13.29,10.21,7.55,0.18,0.36,2.1,0.22,18.15,15.46,37.90
0,1,51.89,2,13.32,10.19,7.71,0.18,0.36,2.18,0.22,18.15,15.46,37.90
0,1,51.94,1.96,13.26,10.13,7.75,0.17,0.34,2.13,0.21,18.14,15.46,37.87
0,1,51.66,2.101,13.21,9.82,8.04,0.17,0.435,1.97,0.27,18.09,15.46,37.92
0,1,51.4,2.06,13.32,10.35,8.53,0.17,0.41,2.24,0.24,,,
0,1,51.1,2.02,13.24,10.17,8.17,0.17,0.38,2.19,0.23,18.09,15.45,37.82
0,1,51.51,2.17,13.45,10.75,8.26,0.15,0.34,2.21,0.183,18.24,15.43,37.94
0,1,52.03,2,13.45,10.47,8.24,0.19,0.3,2.1,0.18,18.15,15.43,37.89
0,1,51.28,2.17,13.41,10.7,8.42,0.15,0.33,2.16,0.183,18.33,15.52,38.16
0,1,51.45,2.03,13.53,10.09,8.52,0.17,0.39,2.21,0.24,,,
0,1,51.52,2.009,13.12,10.26,8.51,0.17,0.453,2.1,0.256,18.09,15.47,37.89
0,1,52.11,2.08,13.07,10.23,9,0.17,0.31,2.13,0.18,,,
0,1,51.2,2.165,12.85,9.75,9.04,0.17,0.478,2.11,0.288,18.12,15.47,37.91
0,1,51.81,1.89,13.69,10.36,9.53,0.17,0.36,2.2,0.21,,,
0,1,50.57,2.05,12.81,10.02,9.58,0.17,0.4,2.15,0.23,18.10,15.46,37.85
0,1,50.51,2.01,13.12,9.97,9.71,0.17,0.28,1.96,0.25,,,
0,1,51.52,1.94,12.81,9.46,10.66,0.17,0.37,2.2,0.23,,,
0,1,51.82,2.18,12.58,9.36,10.58,0.17,0.51,2.25,0.23,,,
0,1,50.19,1.85,12.37,9.64,10.75,0.18,0.28,2.23,0.18,18.17,15.46,37.91
0,1,51.9,2.11,12.66,9.57,10.92,0.17,0.47,2.12,0.27,,,
0,1,50.54,1.75,12.02,9.17,10.75,0.17,0.28,1.85,0.17,18.16,15.44,37.84
0,1,50.58,2.04,12.33,9.32,10.96,0.17,0.46,2.15,0.26,,,
0,1,50.35,1.975,12.08,9.59,11.26,0.17,0.302,2.09,0.191,18.25,15.46,37.92
0,1,50.54,1.915,11.98,9.46,11.8,0.17,0.303,1.93,0.196,18.25,15.46,37.92
0,1,50.04,1.82,11.93,9.7,11.9,0.17,0.33,2.26,0.21,18.11,15.47,37.89
0,1,49.76,1.88,10.96,8.75,14.8,0.17,0.32,1.83,0.18,18.28,15.48,37.98
0,1,48.76,1.83,11.04,8.84,14.65,0.17,0.23,1.98,0.17,18.22,15.45,37.93
0,1,48.95,1.84,11.12,8.82,14.8,0.17,0.23,1.97,0.18,18.25,15.46,37.96
0,1,48.8,1.78,10.92,8.54,15.19,0.17,0.26,1.95,0.18,18.25,15.46,37.95
0,1,48.43,1.47,9.87,8.43,17.4,0.17,0.26,1.76,0.17,18.11,15.46,37.88
0,1,47.55,1.57,9.63,7.65,18.67,0.17,0.21,1.69,0.15,18.25,15.46,37.96
0,1,47.92,1.38,10.06,7.67,19.64,0.16,0.23,1.71,0.14,,,
0,1,47.09,1.44,9.28,7.44,19.73,0.18,0.19,1.59,0.14,18.25,15.46,37.96
0,1,47.28,1.45,9,6.85,22.26,0.16,0.24,1.53,0.14,,,
0,1,46.9,1.3,8.29,6.58,22.21,0.16,0.25,1.16,0.15,18.14,15.45,37.88
0,1,51.1,2.02,13.6,10.55,8.08,0.18,0.26,1.96,0.19,18.22,15.46,37.95
0,1,49.1,1.97,10.6,8.13,16.3,0.16,0.34,1.8,0.22,18.16,15.44,37.88
0,1,50.58,2.04,13.79,10.82,7.72,0.18,0.26,2.22,0.22,18.08,15.45,37.80
0,1,51.32,2.08,13.56,10.42,7.64,0.17,0.41,2.08,0.25,18.10,15.46,37.87
0,1,50.51,1.96,13.01,10.11,9.8,0.18,0.21,1.84,0.19,18.17,15.46,37.89
0,1,50.29,2.06,12.69,9.82,9.96,0.18,0.23,1.82,0.2,18.13,15.46,37.87
0,1,50.31,2.07,12.78,9.9,10.25,0.18,0.31,1.89,0.22,18.13,15.46,37.88
0,1,49.79,1.78,11.41,8.89,13.18,0.17,0.32,1.76,0.2,18.07,15.47,37.92
0,1,48.15,1.69,10.26,8.21,16.84,0.18,0.22,1.42,0.17,18.24,15.46,37.93
0,1,45.54,1,6.31,5.54,27.28,0.17,0.2,0.97,0.12,18.13,15.47,37.87
0,1,45.01,0.86,5.95,5.29,28.68,0.17,0.13,0.75,0.09,18.09,15.46,37.83
0,1,47.22,1.46,9.02,7.2,20.77,0.17,0.23,1.31,0.14,18.25,15.47,37.97
0,1,46.37,1.16,7.35,6.41,24.24,0.18,0.21,1.13,0.14,18.12,15.46,37.91
0,1,44.51,0.77,5.54,5.01,29.77,0.17,0.13,1.05,0.09,18.10,15.45,37.80
0,1,45.33,1.06,7.55,5.7,26.12,0.17,0.1,1.29,0.1,,,
0,1,46.2,1.36,8.09,6.75,22.54,0.15,0.2,1.23,0.12,18.24,15.47,38.02
0,1,49.54,1.84,12,9.8,11.06,0.15,0.29,1.91,0.17,18.20,15.47,38.00
0,1,49.77,2.79,13.59,11.36,6.46,0.18,0.53,2.58,0.29,18.12,15.46,37.87
0,,,,,,,,,,,,,
